run_id,trial_id,scenario,name,timestamp,detail
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-2-r02,S4-AWS-2,burst_finished,2026-09-08T14:54:16.638805848Z,requests=100
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-2-r02,S4-AWS-2,tasks_finished,2026-09-08T14:54:16.847626364Z,tasks=2
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-2-r02,S4-AWS-2,derivative_verified,2026-09-08T14:54:16.873740646Z,bytes=67940 webp=true
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-2-r02,S4-AWS-2,health_after,2026-09-08T14:54:17.107482472Z,stable=true healthy=2
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-1-CONTROL-r02,S4-AWS-1-CONTROL,trial_started,2026-09-08T14:54:17.123900687Z,
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-1-CONTROL-r02,S4-AWS-1-CONTROL,health_before,2026-09-08T14:54:17.33987318Z,stable=true healthy=1
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-1-CONTROL-r02,S4-AWS-1-CONTROL,tasks_prepared,2026-09-08T14:54:17.341794287Z,tasks=1
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-1-CONTROL-r02,S4-AWS-1-CONTROL,derivative_deleted,2026-09-08T14:54:17.366524679Z,result=success
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-1-CONTROL-r02,S4-AWS-1-CONTROL,cold_checked,2026-09-08T14:54:17.378659024Z,missing=true
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-1-CONTROL-r02,S4-AWS-1-CONTROL,burst_ready,2026-09-08T14:54:17.378884102Z,requests=100
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-1-CONTROL-r02,S4-AWS-1-CONTROL,burst_released,2026-09-08T14:54:17.378942969Z,start_channel=closed
