mode,fault,stream,phase,trials,requests_mean,success_rate_mean,error_rate_mean,shed_rate_mean,kill_switch_rate_mean,affected_rate_mean,affected_rate_min,affected_rate_max,p50_mean_ms,p95_mean_ms,p99_mean_ms,p99_min_ms,p99_max_ms,max_mean_ms
kill-switch,slow-transform,healthy-miss,normal,5,14.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,560.858,566.818,566.818,550.254,598.687,568.364
kill-switch,slow-transform,healthy-miss,fault,5,30.000,0.333333,0.666667,0.000000,0.666667,0.933333,0.933333,0.933333,0.275,17084.782,17288.446,17280.877,17296.264,17289.549
kill-switch,slow-transform,healthy-miss,recovery,5,30.000,0.833333,0.166667,0.000000,0.166667,0.166667,0.166667,0.166667,558.694,567.075,568.877,553.793,602.932,572.174
kill-switch,slow-transform,poisoned-miss,normal,5,29.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,305.428,564.496,565.286,549.305,604.053,568.025
kill-switch,slow-transform,poisoned-miss,fault,5,60.000,0.066667,0.933333,0.000000,0.666667,0.933333,0.933333,0.933333,0.292,20001.078,20001.212,20001.070,20001.300,20001.308
kill-switch,slow-transform,poisoned-miss,recovery,5,60.000,0.833333,0.166667,0.000000,0.166667,0.166667,0.166667,0.166667,292.565,567.834,571.215,558.146,603.772,573.286
baseline,transform-timeout,hit,normal,5,598.600,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.348,0.496,12.448,0.967,20.684,25.801
baseline,transform-timeout,hit,fault,5,1200.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.340,0.481,1.189,0.781,1.986,17.660
baseline,transform-timeout,hit,recovery,5,1184.800,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.351,0.505,25.374,19.721,33.673,63.979
baseline,transform-timeout,healthy-miss,normal,5,14.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,571.891,580.208,580.208,554.837,598.432,583.207
baseline,transform-timeout,healthy-miss,fault,5,30.000,1.000000,0.000000,0.000000,0.000000,0.933333,0.933333,0.933333,16287.478,17289.044,17290.699,17287.532,17295.846,17292.889
baseline,transform-timeout,healthy-miss,recovery,5,30.000,1.000000,0.000000,0.000000,0.000000,0.220000,0.200000,0.233333,573.308,6249.192,7255.461,7160.430,7431.868,8215.905
baseline,transform-timeout,poisoned-miss,normal,5,29.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,301.389,577.225,578.495,561.792,594.972,582.076
baseline,transform-timeout,poisoned-miss,fault,5,60.000,0.266667,0.733333,0.000000,0.000000,0.733333,0.733333,0.733333,20000.581,20002.129,20002.757,20001.671,20004.222,20014.064
baseline,transform-timeout,poisoned-miss,recovery,5,60.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,557.069,6656.289,7897.332,7544.022,8099.263,8133.077
bounded-wait,transform-timeout,hit,normal,5,597.800,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.361,0.493,12.223,1.061,20.015,32.350
bounded-wait,transform-timeout,hit,fault,5,1200.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.332,0.434,0.516,0.476,0.576,1.663
bounded-wait,transform-timeout,hit,recovery,5,1196.600,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.350,0.495,18.794,1.360,51.258,37.662
bounded-wait,transform-timeout,healthy-miss,normal,5,14.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,570.061,576.027,576.027,552.249,610.770,577.645
bounded-wait,transform-timeout,healthy-miss,fault,5,30.000,0.153333,0.846667,0.846667,0.000000,0.873333,0.833333,0.933333,2000.522,2001.132,2001.204,2001.025,2001.334,2228.798
bounded-wait,transform-timeout,healthy-miss,recovery,5,30.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,569.871,576.993,580.960,559.763,614.780,929.630
bounded-wait,transform-timeout,poisoned-miss,normal,5,29.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,299.842,574.218,575.365,552.985,604.785,579.449
bounded-wait,transform-timeout,poisoned-miss,fault,5,60.000,0.016667,0.983333,0.750000,0.000000,0.983333,0.983333,0.983333,2000.818,20001.133,20004.862,20001.201,20019.241,20012.271
bounded-wait,transform-timeout,poisoned-miss,recovery,5,60.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,341.373,576.676,580.988,556.345,614.279,720.543
kill-switch,transform-timeout,hit,normal,5,599.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.350,0.476,9.795,1.313,19.590,40.204
kill-switch,transform-timeout,hit,fault,5,1200.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.348,0.465,0.600,0.517,0.727,1.689
kill-switch,transform-timeout,hit,recovery,5,1200.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.351,0.483,11.834,0.631,25.841,46.157
kill-switch,transform-timeout,healthy-miss,normal,5,14.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,570.395,576.871,576.871,554.485,607.061,578.892
kill-switch,transform-timeout,healthy-miss,fault,5,30.000,0.333333,0.666667,0.000000,0.666667,0.933333,0.933333,0.933333,0.291,17284.013,17285.476,17280.667,17289.449,17288.254
kill-switch,transform-timeout,healthy-miss,recovery,5,30.000,0.833333,0.166667,0.000000,0.166667,0.166667,0.166667,0.166667,569.480,575.988,577.714,556.723,608.592,592.604
kill-switch,transform-timeout,poisoned-miss,normal,5,29.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,300.688,573.730,575.902,551.341,606.729,577.647
kill-switch,transform-timeout,poisoned-miss,fault,5,60.000,0.000000,1.000000,0.000000,0.666667,1.000000,1.000000,1.000000,0.277,20001.087,20001.253,20001.099,20001.330,20001.403
kill-switch,transform-timeout,poisoned-miss,recovery,5,60.000,0.833333,0.166667,0.000000,0.166667,0.166667,0.166667,0.166667,295.343,576.376,591.552,557.767,613.124,594.856
baseline,transform-error,hit,normal,5,599.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.345,0.476,16.510,1.303,44.239,32.911
