mode,fault,stream,phase,trials,requests_mean,success_rate_mean,error_rate_mean,shed_rate_mean,kill_switch_rate_mean,affected_rate_mean,affected_rate_min,affected_rate_max,p50_mean_ms,p95_mean_ms,p99_mean_ms,p99_min_ms,p99_max_ms,max_mean_ms
kill-switch,transform-timeout,healthy-miss,fault,2,12.000,0.333333,0.666667,0.000000,0.666667,0.833333,0.833333,0.833333,12.457,13330.516,13330.516,13319.106,13341.926,13337.387
kill-switch,transform-timeout,healthy-miss,recovery,2,12.000,0.833333,0.166667,0.000000,0.166667,0.166667,0.166667,0.166667,2199.329,2357.783,2357.783,2355.308,2360.258,2392.668
kill-switch,transform-timeout,poisoned-miss,normal,2,11.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,922.552,2308.929,2308.929,2249.066,2368.792,2325.168
kill-switch,transform-timeout,poisoned-miss,fault,2,24.000,0.000000,1.000000,0.000000,0.666667,1.000000,1.000000,1.000000,13.759,20014.524,20014.828,20014.325,20015.332,20025.397
kill-switch,transform-timeout,poisoned-miss,recovery,2,24.000,0.833333,0.166667,0.000000,0.166667,0.166667,0.166667,0.166667,905.320,2296.667,2355.253,2350.777,2359.729,2416.219
baseline,slow-original,hit,normal,2,149.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,25.518,30.127,37.859,36.309,39.409,73.850
baseline,slow-original,hit,fault,2,300.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,25.335,29.401,38.526,38.368,38.683,74.408
baseline,slow-original,hit,recovery,2,300.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,25.339,30.051,49.829,43.853,55.805,96.769
baseline,slow-original,healthy-miss,normal,2,5.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2280.226,2319.131,2319.131,2308.394,2329.869,2399.046
baseline,slow-original,healthy-miss,fault,2,12.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2260.242,2343.586,2343.586,2285.788,2401.384,2357.336
baseline,slow-original,healthy-miss,recovery,2,12.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2350.791,4369.626,4369.626,4039.124,4700.128,5425.140
baseline,slow-original,poisoned-miss,normal,2,11.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,961.711,2321.140,2321.140,2312.364,2329.915,2356.916
baseline,slow-original,poisoned-miss,fault,2,24.000,0.979167,0.020833,0.000000,0.000000,0.020833,0.000000,0.041667,17245.323,18634.772,18856.560,18640.901,19072.219,19890.619
baseline,slow-original,poisoned-miss,recovery,2,24.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2304.753,4491.141,4650.791,4600.823,4700.758,4969.563
bounded-wait,slow-original,hit,normal,2,149.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,26.217,31.287,35.536,34.191,36.881,62.180
bounded-wait,slow-original,hit,fault,2,300.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,25.126,29.044,35.016,30.818,39.213,44.868
bounded-wait,slow-original,hit,recovery,2,300.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,25.546,29.148,64.346,42.905,85.788,85.882
bounded-wait,slow-original,healthy-miss,normal,2,5.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2314.703,2338.399,2338.399,2313.361,2363.438,2388.474
bounded-wait,slow-original,healthy-miss,fault,2,12.000,0.583333,0.416667,0.416667,0.000000,0.416667,0.333333,0.500000,1915.261,2041.625,2041.625,2031.683,2051.567,2631.581
bounded-wait,slow-original,healthy-miss,recovery,2,12.000,0.916667,0.083333,0.083333,0.000000,0.083333,0.083333,0.083333,2279.433,2799.657,2799.657,2314.120,3285.193,2947.999
bounded-wait,slow-original,poisoned-miss,normal,2,11.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,978.614,2344.909,2344.909,2313.474,2376.343,2372.214
bounded-wait,slow-original,poisoned-miss,fault,2,24.000,0.666667,0.333333,0.333333,0.000000,0.333333,0.333333,0.333333,15916.410,17638.207,18531.186,17628.441,19433.931,19201.772
bounded-wait,slow-original,poisoned-miss,recovery,2,24.000,0.958333,0.041667,0.041667,0.000000,0.041667,0.041667,0.041667,2042.928,2583.182,2833.040,2348.822,3317.258,3060.812
kill-switch,slow-original,hit,normal,2,149.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,26.291,42.870,43.556,29.659,57.454,83.266
kill-switch,slow-original,hit,fault,2,300.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,25.601,30.825,46.264,35.449,57.079,55.503
kill-switch,slow-original,hit,recovery,2,300.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,26.221,43.381,52.883,47.623,58.143,84.666
kill-switch,slow-original,healthy-miss,normal,2,5.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2274.694,2286.186,2286.186,2241.480,2330.892,2353.136
kill-switch,slow-original,healthy-miss,fault,2,12.000,0.333333,0.666667,0.000000,0.666667,0.666667,0.666667,0.666667,14.104,927.775,927.775,900.486,955.064,2280.332
kill-switch,slow-original,healthy-miss,recovery,2,12.000,0.833333,0.166667,0.000000,0.166667,0.166667,0.166667,0.166667,2265.778,2362.686,2362.686,2332.065,2393.308,2396.676
kill-switch,slow-original,poisoned-miss,normal,2,11.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,936.841,2303.109,2303.109,2258.726,2347.492,2373.119
kill-switch,slow-original,poisoned-miss,fault,2,24.000,0.333333,0.666667,0.000000,0.666667,0.666667,0.666667,0.666667,14.609,15919.725,15925.775,15914.532,15937.019,17359.284
kill-switch,slow-original,poisoned-miss,recovery,2,24.000,0.833333,0.166667,0.000000,0.166667,0.166667,0.166667,0.166667,913.168,2344.909,2366.629,2335.629,2397.629,2406.627
